| timestamp                  |   FT_001 |   FT_002 |   PT_001 |   PT_002 |   PT_003 |   PT_004 |   TE_001 |   TE_002 |   TE_003 |   TT_001 |   TT_002 |   TT_003 |   FZ_003 |   FZ_001 |   FZ_002 |   SV_001 |   SV_002 |   SV_003 |   SV_004 |   SV_005 |   SV_006 |   SV_007 |   SV_008 |   LSH_001 |   LSL_001 |   LSL_002 |   BY_001 |   FY_001 |   FY_002 |   FY_003 |   EE_101 |   EE_102 |   EE_103 |   IE_101 |   IE_102 |   IE_103 |   TE_101 |   SE_101 |   EE_201 |   EE_202 |   IE_201 |   TE_201 |   TE_202 |   EE_301 |   EE_302 |   EE_303 |   IE_301 |   IE_302 |   IE_303 |   TE_301 |   ST_301 |   WT_401 |   TE_401 |   WT_402 |   TE_402 |
| 2022-04-11 14:34:18.764479 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |         0 |         0 |         0 |        0 |        0 |        0 |        0 |      727 |      714 |      712 |       21 |       24 |       22 |       77 |       58 |        0 |        0 |        7 |        0 |       69 |      219 |      214 |      210 |       35 |       35 |       34 |       70 |     2302 |      105 |       61 |      207 |       52 |
| 2022-04-11 14:34:20.457860 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |         0 |         0 |         0 |        0 |        0 |        0 |        0 |      723 |      714 |      728 |       21 |       20 |       22 |       74 |       58 |        0 |        0 |       17 |        0 |       71 |      212 |      210 |      211 |       32 |       33 |       32 |       75 |     2452 |      108 |       66 |      200 |       51 |
| 2022-04-11 14:34:21.938193 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |         0 |         0 |         0 |        0 |        0 |        0 |        0 |      714 |      700 |      707 |       24 |       23 |       21 |       75 |       58 |        0 |        0 |        9 |        0 |       62 |      220 |      221 |      227 |       30 |       32 |       34 |       74 |     2306 |      132 |       61 |      205 |       51 |
| 2022-04-11 14:34:23.244487 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |         0 |         0 |         0 |        0 |        0 |        0 |        0 |      703 |      710 |      719 |       24 |       22 |       22 |       72 |       58 |        0 |        0 |       12 |        0 |       63 |      215 |      215 |      221 |       32 |       32 |       35 |       76 |     2406 |      106 |       64 |      203 |       50 |
| 2022-04-11 14:34:24.676809 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |         0 |         0 |         0 |        0 |        0 |        0 |        0 |      719 |      702 |      702 |       23 |       22 |       20 |       78 |       59 |        0 |        0 |       15 |        0 |       68 |      222 |      226 |      221 |       30 |       34 |       31 |       77 |     2373 |      117 |       63 |      222 |       51 |
| 2022-04-11 14:34:25.937092 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |         0 |         0 |         0 |        0 |        0 |        0 |        0 |      723 |      715 |      707 |       20 |       21 |       24 |       79 |       58 |        0 |        0 |       14 |        0 |       64 |      211 |      218 |      214 |       31 |       30 |       30 |       78 |     2477 |      143 |       69 |      226 |       54 |
| 2022-04-11 14:34:27.211378 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |         0 |         0 |         0 |        0 |        0 |        0 |        0 |      706 |      715 |      725 |       22 |       23 |       20 |       78 |       60 |        0 |        0 |       19 |        0 |       70 |      227 |      228 |      228 |       35 |       32 |       31 |       78 |     2352 |      146 |       74 |      221 |       54 |
| 2022-04-11 15:55:43.787878 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |         0 |         0 |         0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |
| 2022-04-11 15:55:45.083977 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |         0 |         0 |         0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |
| 2022-04-11 15:55:46.353981 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |         0 |         0 |         0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |        0 |
